record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.gps_accuracy[m],record.distance[m],record.calories[kcal],record.cadence[rpm],record.speed[m/s],record.power[watts],record.battery_soc[percent],record.enhanced_speed[m/s],record.temperature[C],record.left_right_balance,record.left_pedal_smoothness[percent],record.right_pedal_smoothness[percent],record.left_torque_effectiveness[percent],record.right_torque_effectiveness[percent],record.altitude[m],record.enhanced_altitude[m],record.grade[%],record.developer.12.ascent[m],
"1007933587","463771374","-923424410","2","2.58","0","0","5.697","0","59.0","5.697",
"1007933588","463771647","-923424372","2","5.16","0","0","5.67","0","59.0","5.67",
"1007933589","463772441","-923424257","2","12.42","0","0","5.43","0","59.0","5.43",
"1007933590","463773033","-923424209","2","18.01","0","0","5.286","0","59.0","5.286",
"1007933591","463773568","-923424492","2","23.38","0","0","5.254","0","59.0","5.254","7",
"1007933592","463774019","-923424892","2","28.84","0","0","5.511","0","59.0","5.511","7",
"1007933593","463774418","-923425539","2","34.65","0","11","5.658","62","59.0","5.658","7",
"1007933594","463774728","-923426251","2","40.47","0","58","5.63","220","59.0","5.63","7","21","24.0","0.0","85.0","0.0",
"1007933595","463774996","-923426909","2","46.29","0","60","5.802","446","59.0","5.802","7","19","24.5","18.0","86.5","30.0",
"1007933596","463775219","-923427718","2","52.15","1","60","5.818","534","59.0","5.818","7","17","24.5","36.0","87.5","60.5",
"1007933597","463775400","-923428452","2","58.04","2","60","5.998","555","59.0","5.998","7","16","25.0","54.5","89.0","90.5","139.0","139.0",
"1007933598","463775577","-923429281","2","64.29","2","61","6.204","564","59.0","6.204","7","16","27.5","62.0","91.5","100.0","139.0","139.0","0.0","0",
"1007933599","463775718","-923430182","2","70.58","3","63","6.327","578","59.0","6.327","7","15","28.5","63.5","91.0","100.0","139.0","139.0","0.0","0",
"1007933600","463775901","-923431012","2","77.15","3","64","6.413","593","59.0","6.413","7","14","26.0","63.0","87.0","100.0","139.0","139.0","0.0","0",
"1007933601","463776084","-923431899","2","83.48","4","65","6.403","591","59.0","6.403","7","14","23.0","63.0","83.0","100.0","139.0","139.0","0.0","0",
"1007933602","463776307","-923432718","2","89.88","4","63","6.315","581","59.0","6.315","7","13","20.0","63.5","73.0","100.0","139.0","139.0","0.0","0",
"1007933603","463776489","-923433536","2","96.16","5","54","6.165","466","59.0","6.165","7","3","16.5","63.5","62.5","100.0","139.20000000000005","139.20000000000005","0.0","0",
"1007933604","463776678","-923434357","2","102.42","5","38","5.847","344","59.0","5.847","7","3","13.0","64.0","51.5","100.0","139.20000000000005","139.20000000000005","0.0","0",
"1007933605","463776904","-923435079","2","108.22","5","21","5.769","221","59.0","5.769","7","3","13.0","64.0","51.5","100.0","139.20000000000005","139.20000000000005","0.0","0",
"1007933606","463777129","-923435804","2","113.82","5","5","5.165","0","59.0","5.165","7","3","13.0","64.0","51.5","100.0","139.39999999999998","139.39999999999998","0.0","0",
"1007933607","463777305","-923436418","2","118.33","5","0","4.071","0","59.0","4.071","7","3","13.0","64.0","51.5","100.0","139.39999999999998","139.39999999999998","0.0","0",
"1007933608","463777444","-923436871","2","121.99","5","0","2.98","0","59.0","2.98","7","3","13.0","64.0","51.5","100.0","139.60000000000002","139.60000000000002","0.0","0",
"1007933609","463777569","-923437213","2","124.54","5","0","2.055","0","59.0","2.055","7","3","13.0","64.0","51.5","100.0","139.60000000000002","139.60000000000002","0.56","0",
"1007933610","463777614","-923437375","2","125.87","5","0","0.663","0","59.0","0.663","7","3","13.0","64.0","51.5","100.0","139.79999999999995","139.79999999999995","1.2","0",
"1007933611","463777655","-923437375","2","125.87","5","0","0.0","0","59.0","0.0","7","3","13.0","64.0","51.5","100.0","139.79999999999995","139.79999999999995","1.48","0",
"1007933612","463777661","-923437375","2","125.87","5","0","0.0","0","59.0","0.0","7","3","13.0","64.0","51.5","100.0","139.79999999999995","139.79999999999995","0.76","0",
"1007933613","463777701","-923437375","2","125.87","5","0","0.0","0","59.0","0.0","7","3","13.0","64.0","51.5","100.0","140.0","140.0","0.0","0",
"1007933614","463777701","-923437375","2","125.87","5","0","0.0","0","59.0","0.0","7","3","13.0","64.0","51.5","100.0","140.0","140.0","0.0","0",
"1007933750","463777541","-923439508","1","126.24","5","27","4.305","46","59.0","4.305","6","3","27.5","23.5","92.0","86.0","140.0","140.0","0.0","0",
"1007933751","463777267","-923439965","1","130.48","5","35","4.348","77","59.0","4.348","6","3","27.0","26.5","91.5","90.5","140.0","140.0","0.0","0",
"1007933752","463776932","-923440524","1","135.47","5","45","5.52","206","59.0","5.52","6","58","27.5","26.5","92.0","90.5","140.0","140.0","0.0","0",
"1007933753","463776562","-923441017","1","140.62","6","63","5.751","245","59.0","5.751","6","54","25.0","25.5","87.5","91.0","140.20000000000005","140.20000000000005","0.0","0",
"1007933754","463776061","-923441601","2","146.82","6","68","5.812","237","59.0","5.812","6","52","22.5","24.0","83.5","85.0","140.39999999999998","140.39999999999998","0.0","0",
"1007933755","463775512","-923442067","2","153.03","6","72","6.224","188","59.0","6.224","6","53","24.0","23.5","86.5","68.5","140.39999999999998","140.39999999999998","0.0","0",
"1007933756","463774969","-923442610","2","159.34","6","75","6.675","152","59.0","6.675","6","54","20.5","20.5","72.0","62.5","140.39999999999998","140.39999999999998","0.0","0",
"1007933757","463774458","-923443125","2","165.59","6","69","6.827","105","59.0","6.827","6","53","18.5","19.0","66.0","60.0","140.20000000000005","140.20000000000005","0.0","0",
"1007933758","463773868","-923443902","2","173.17","6","50","7.009","82","59.0","7.009","6","53","18.5","18.0","65.5","59.0","140.20000000000005","140.20000000000005","0.0","0",
